,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
968,439984,371031,371354,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,5.11588176,8.23323008,Active,Union Pacific,66,UP,F,"LINESTRING (-95.17158827899998 29.595292041000054, -95.17126012599994 29.594942414000045, -95.17117287599996 29.594849453000048, -95.16971894499993 29.593300376000066, -95.16479007899994 29.58804896200008, -95.15773199899996 29.580529000000055, -95.15760641099996 29.580394658000046, -95.15751455099996 29.58029639600004, -95.14861970699998 29.57078157600005, -95.14856645799993 29.57072461500006, -95.14049769699994 29.562093457000042, -95.14038718199998 29.56197523900005, -95.12836543599997 29.549115571000065, -95.12825958499997 29.54900234300004, -95.12305516299993 29.54343517200005, -95.12297794599998 29.543352571000074, -95.12120496399994 29.541456012000022, -95.12102623399993 29.541264824000052, -95.11781294499997 29.537827566000033, -95.11778946699995 29.537802453000037)"
991,439963,370254,369965,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,2.42657835,3.90520712,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28173043199997 29.95695940400004, -95.28459271399997 29.948920966000045, -95.28493490199997 29.947959961000034, -95.28743432199997 29.940940587000057, -95.28747981899994 29.940812814000022, -95.28762941399998 29.940392687000045, -95.28767703699998 29.940258945000043, -95.28772374399995 29.940127772000046, -95.28775500899995 29.940039968000065, -95.28784875999997 29.93977668100006, -95.28906073999997 29.936372946000063, -95.28944900899994 29.93528253300008, -95.28960268299993 29.93485095500006, -95.28963455399997 29.93476144900006, -95.28972566299994 29.934505577000046, -95.29008236799994 29.933503807000083, -95.29077699999999 29.931553001000047, -95.29209944499995 29.92787417900007, -95.29292660299994 29.92557315800007, -95.29373727199997 29.92331801400008)"
994,439970,370308,370254,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,1.34593354,2.1660744,Active,Union Pacific,66,UP,F,"LINESTRING (-95.27476421599994 29.975532363000063, -95.27480675199996 29.97542392100007, -95.27487541499993 29.975248873000055, -95.27567084099996 29.97322103400006, -95.27673181999994 29.970516195000073, -95.27694674199995 29.969968279000064, -95.27774069699996 29.96794419500003, -95.27858999899996 29.965779000000026, -95.27891845399995 29.96485657200002, -95.28030929999994 29.960950516000015, -95.28079715199999 29.95958043100007, -95.28167063199999 29.957127347000036, -95.28173043199997 29.95695940400004)"
995,439971,370438,370308,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,1.71838291,2.76547476,Active,Union Pacific,66,UP,F,"LINESTRING (-95.26549664899994 29.999139293000034, -95.26554094999995 29.999027295000072, -95.26555766899997 29.998985025000028, -95.26582340399993 29.998313213000067, -95.26641799899993 29.996810000000036, -95.27070126899996 29.98589033600005, -95.27268464199994 29.98083397600003, -95.27470299699998 29.97568843200002, -95.27476198999993 29.97553803700003, -95.27476421599994 29.975532363000063)"
997,439973,371322,371780,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,3.58664775,5.77216158,Active,Union Pacific,66,UP,F,"LINESTRING (-95.12353097899997 29.710896405000025, -95.12249812199997 29.71086896200006, -95.12179262799998 29.710850217000015, -95.12096977799996 29.71082835400005, -95.12069299999996 29.71082100000007, -95.12028187399993 29.710816704000013, -95.11849199999995 29.71079800000006, -95.11835794899999 29.710787007000086, -95.11717499999996 29.710690000000046, -95.11656353699999 29.710604659000076, -95.11578499999996 29.710496000000017, -95.11518405499997 29.710370170000026, -95.11467699999997 29.710264000000063, -95.11382530999998 29.710031721000068, -95.11335699899995 29.709904000000055, -95.10520385399997 29.707443975000036, -95.10253717399995 29.706639366000044, -95.09392724999996 29.70404151800005, -95.09329020899997 29.703849306000052, -95.08843197699996 29.702383447000035, -95.08711530399994 29.701986172000016, -95.08656803099994 29.701821045000024, -95.08500049699995 29.701348078000017, -95.08292219599996 29.70072298400004, -95.07861701299998 29.699428108000074, -95.07213879699997 29.697465529000056, -95.06671250799997 29.695823150000024)"
998,439975,369729,370199,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,PTRA,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,1.99327389,3.2078698,Active,Union Pacific,66,UP,F,"MULTILINESTRING ((-95.31252134899995 29.73675157500003, -95.31095428499998 29.736258151000058, -95.30900829499994 29.735645414000018, -95.30768205899994 29.735227819000052, -95.30751739599997 29.73517597300003, -95.30703837899995 29.735025144000083, -95.30561755399998 29.734577767000076, -95.30538826099995 29.73450556900007, -95.30526486599997 29.73446671600003, -95.30296881699995 29.733743757000067, -95.30122895299996 29.733195924000015, -95.29981256399998 29.732749943000037, -95.29977858099993 29.732739243000026, -95.29977099099995 29.732736852000073, -95.29871344099996 29.732403860000034, -95.29870997399995 29.732402769000036, -95.29863478899995 29.732379094000066, -95.29803948099999 29.732191649000058, -95.29776890599997 29.732106453000007, -95.29775990199994 29.732103617000057, -95.29718877799995 29.731923789000064, -95.29717191799993 29.731918479000054, -95.29682976499998 29.731810746000043, -95.29680304899993 29.73180233400007, -95.29665187599993 29.731754734000035, -95.29660978999998 29.731741481000014, -95.29577299999993 29.731477999000045, -95.29568520699995 29.731442447000045, -95.29490631699997 29.731127038000064, -95.29488399999997 29.73111800100002, -95.29485022299997 29.73110111100005, -95.29448559999996 29.730918800000033, -95.29443199999996 29.73089200000003, -95.29427135599998 29.730799182000048, -95.29393699999996 29.73060600000003, -95.29368700099997 29.730432802000042, -95.29323438799996 29.73011923400004, -95.29314600099995 29.73005799900005, -95.29254394799995 29.729535450000068, -95.29250129499995 29.729498428000063, -95.29241899999994 29.729427000000033, -95.29201390999997 29.728987329000052, -95.29198400199994 29.72895486800007, -95.29184499999997 29.728804000000032, -95.29179714599996 29.72874211900005, -95.29173711699995 29.72866449600008, -95.29150034699994 29.72835832700003, -95.29149941899999 29.72835712600006, -95.29149895899997 29.728356532000088, -95.29149699999992 29.72835400000004, -95.29149523099994 29.728351385000046, -95.29128999899994 29.728048000000058, -95.29124970799997 29.72798256200007, -95.29107208599997 29.72769408700003, -95.29053586699995 29.726823217000064, -95.29002656999995 29.72599607200004, -95.28937770699996 29.724942259000045, -95.28851777691042 29.723545648611687), (-95.28829918163626 29.723190633166986, -95.28829430799998 29.723182718000032, -95.28689794999997 29.720914901000057))"
999,439976,369494,369729,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,PTRA,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,2.03392836,3.27329695,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34432118799998 29.746822618000067, -95.34432020699994 29.746822082000048, -95.34431924299997 29.74682155400005, -95.34428547799995 29.746803082000042, -95.34411900099995 29.74671200000006, -95.34409458599998 29.746702333000016, -95.34387950299997 29.74661716500002, -95.34383822199999 29.746600819000037, -95.34383183399994 29.746598290000072, -95.34374773999997 29.746564991000053, -95.34373621899994 29.74656042900006, -95.34354086299997 29.74648307300003, -95.34337399999998 29.746417000000065, -95.34326634999996 29.746383078000054, -95.34296385599998 29.746287759000033, -95.34197441999999 29.745975973000036, -95.34168337199996 29.745884260000025, -95.34068887599993 29.74557088100005, -95.33941920299996 29.74517079100009, -95.33761099899999 29.744601000000028, -95.33716896899993 29.744472117000043, -95.33668420199994 29.74433077200006, -95.33543999999995 29.743968000000056, -95.33522558899995 29.74390048800005, -95.33308145899997 29.743225364000068, -95.33237445599998 29.743002748000034, -95.33229536199995 29.742977843000062, -95.33114659299996 29.742616129000048, -95.32970891399998 29.742163445000074, -95.32956721999994 29.74211883000004, -95.32778785899995 29.741558560000044, -95.32596491899993 29.74098456800003, -95.32551585299996 29.740843171000044, -95.32546454899995 29.740827016000022, -95.32493031199994 29.740658800000066, -95.32459239199994 29.74055239900001, -95.32458020199992 29.740548561000026, -95.32446245999995 29.74051148700005, -95.32339097599998 29.740174107000037, -95.32284891999996 29.740003429000073, -95.32194702499997 29.739719448000066, -95.32139052899997 29.739544224000046, -95.32134217899993 29.739529000000054, -95.32004079599994 29.739119231000064, -95.31829200699997 29.738568588000067, -95.31720332799993 29.73822579400007, -95.31476271699994 29.737457316000064, -95.31425450099994 29.73729729400003, -95.31425350699999 29.737296980000057, -95.31422921299998 29.737289331000067, -95.31422829299999 29.73728904100004, -95.31420941599998 29.737283097000045, -95.31419683699993 29.73727913600005, -95.31418603399997 29.737275735000008, -95.31418550099993 29.73727556700006, -95.31413379599996 29.73725928700004, -95.31395618299995 29.737203362000056, -95.31385693599998 29.73717211200005, -95.31373934399993 29.73713508600003, -95.31260366099997 29.736777493000037, -95.31252134899995 29.73675157500003)"
1001,439986,371354,371420,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,0.8197631,1.31928346,Active,Union Pacific,66,UP,F,"LINESTRING (-95.11778946699995 29.537802453000037, -95.10917521099996 29.528587781000056)"
1002,439987,370797,370950,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,1.55433109,2.50145842,Active,Union Pacific,66,UP,F,"LINESTRING (-95.19739695299995 29.622789648000047, -95.19735579099995 29.62274579200004, -95.19724968899999 29.622632748000054, -95.19482326999997 29.620047544000034, -95.19420500899996 29.61938882300006, -95.19406939399994 29.619244335000065, -95.19401157499999 29.619182732000073, -95.19181022999999 29.616837328000035, -95.19161645399998 29.616630871000037, -95.19150006599995 29.61650686600005, -95.19130129999996 29.616295094000062, -95.18736309099995 29.61209916700005, -95.18307887099996 29.60753458500004, -95.18101951199998 29.605340457000064)"
1003,439991,370950,371031,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,GALVESTON (UP),#N\A,,,,,,1,M,Main sub network,0.89513615,1.44058487,Active,Union Pacific,66,UP,F,"LINESTRING (-95.18101951199998 29.605340457000064, -95.18087744899998 29.605189099000025, -95.17863769699994 29.602802775000043, -95.17756414399996 29.601658968000038, -95.17737948899996 29.60146223100004, -95.17677556899996 29.60081879000006, -95.17677387099997 29.60081698200003, -95.17669149399994 29.600729212000036, -95.17640277899993 29.60042160300003, -95.17486137199995 29.598779327000045, -95.17225717699995 29.59600471100002, -95.17158827899998 29.595292041000054)"
