,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
5145,440003,368961,368962,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,LLOYD,,,,,2,M,Main sub network,0.08887746,0.14303469,Active,Union Pacific,66,UP,F,"LINESTRING (-95.41654414999992 30.077609552000073, -95.41630141099995 30.076663322000055, -95.41622312299995 30.076349825000076)"
5146,440005,368958,368961,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,1,M,Main sub network,0.4111602,0.66169953,Active,Union Pacific,66,UP,F,"LINESTRING (-95.41804523199993 30.083433368000048, -95.41803451599996 30.08339049700003, -95.41795611899992 30.08307687200005, -95.41794399999996 30.083028388000052, -95.41734304399995 30.080624239000038, -95.41723700099998 30.080200001000044, -95.41705333999992 30.07958760000002, -95.41692900099997 30.07917300100008, -95.41684392799999 30.078827394000033, -95.41683230899996 30.078780192000053, -95.41654414999992 30.077609552000073)"
5147,440008,368951,368961,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,NAVASOTA,#N\A,,,,,,1,M,Main sub network,0.37557156,0.60442504,Active,Union Pacific,66,UP,F,"LINESTRING (-95.42046698399997 30.08139202600005, -95.42042300099996 30.081384000000064, -95.42041784699994 30.081382775000066, -95.42013657299997 30.08131587900005, -95.41988340999995 30.08125566700005, -95.41972525299997 30.081218054000036, -95.41972449699995 30.081217874000057, -95.41972145499994 30.081217151000036, -95.41970399999995 30.08121300100003, -95.41961573899994 30.081181913000027, -95.41931180899996 30.081074863000026, -95.41929799999997 30.081070000000075, -95.41898107999997 30.08092521400004, -95.41890399999994 30.080890001000057, -95.41889460899993 30.08088452300006, -95.41880464299997 30.080832041000065, -95.41868496099994 30.080762227000047, -95.41844799999997 30.080624001000047, -95.41817400099994 30.08042400000004, -95.41813180799993 30.08038826500007, -95.418093523 30.080355840000042, -95.41802971799996 30.080301796000054, -95.41789300099998 30.08018599900003, -95.41759799999994 30.079886001000016, -95.41759441799995 30.079881506000035, -95.41752188199996 30.07979052600007, -95.41740466699997 30.079643499000028, -95.41738606399997 30.079620167000034, -95.41736599999994 30.079595000000012, -95.41726572499994 30.079439839000035, -95.41717714399992 30.07930277000002, -95.41717599999997 30.079301000000047, -95.41704638499998 30.079059749000056, -95.41701126599997 30.078967557000063, -95.41692248199998 30.07873450000006, -95.41679727099995 30.07832172000006, -95.41658457999995 30.07772330600005, -95.41654414999992 30.077609552000073)"
5148,440009,369195,369215,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.16121876,0.25945696,Active,Union Pacific,66,UP,F,"LINESTRING (-95.37969464899997 29.675838490000064, -95.37916779499994 29.675996608000048, -95.37915267299995 29.67600114600003, -95.37715977499992 29.676599249000034)"
5149,440010,369215,369229,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.12323338,0.19832529,Active,Union Pacific,66,UP,F,"LINESTRING (-95.37715977499992 29.676599249000034, -95.37673322999996 29.67672726200005, -95.37673316099995 29.676727283000037, -95.376706776 29.67673520200002, -95.37560534899995 29.67706575800003, -95.375569838 29.67707641400005, -95.37522214099994 29.677180765000053)"
5150,440011,368150,368245,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,NAVASOTA,#N\A,,,,,,1,M,Main sub network,1.2785785,2.05767676,Active,Union Pacific,66,UP,F,"LINESTRING (-95.60086375899999 30.124883124000053, -95.60049454899996 30.124681049000046, -95.60049153399996 30.124679399000062, -95.60044803799997 30.12465559200006, -95.60028799999996 30.12456800000007, -95.59807014599994 30.123299524000068, -95.59648642699993 30.12239373100003, -95.59640311199996 30.12234608200002, -95.59524899999997 30.12168600000006, -95.59184593699995 30.119767207000038, -95.59120000099995 30.119403000000027, -95.58845199999998 30.11786100000007, -95.58682306599997 30.11692851300004, -95.58482199999997 30.115783001000064, -95.58298153199996 30.114740655000045)"
5315,439451,368123,368383,48,TX,157,48157,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,GLIDDEN,#N\A,,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,3.05067179,4.90959017,Active,Union Pacific,66,UP,M,"LINESTRING (-95.60479350599995 29.62634243000008, -95.60465875299997 29.62636914000007, -95.60303037699998 29.62669190500002, -95.60287070399994 29.62672355400001, -95.60140334099997 29.62701440200004, -95.60012938899995 29.627266914000067, -95.59916202199996 29.62745865900006, -95.59596115299995 29.628093109000076, -95.59570676899995 29.628143533000063, -95.59464285799997 29.628354414000043, -95.59442799999994 29.62839700000007, -95.59340049899997 29.62858275700006, -95.59321796199998 29.628615757000038, -95.59283896499994 29.628684275000072, -95.59272870499996 29.62870420700005, -95.59237333599998 29.628768454000056, -95.59231500099997 29.62877900000006, -95.59191144599997 29.628823196000045, -95.59148233299999 29.62887019400005, -95.59136829699996 29.62888268300003, -95.59112799999996 29.62890900100005, -95.591019599 29.62891373600005, -95.59087955699994 29.628919854000053, -95.58961977599995 29.628974893000084, -95.58954441199995 29.628978185000047, -95.58948 29.628980999000063, -95.58836978699998 29.628967121000077, -95.58835999999998 29.62896699900005, -95.58761982399993 29.628912386000017, -95.58732999999995 29.628890999000077, -95.58632886499998 29.628758579000063, -95.58607499999994 29.62872499900004, -95.58510963699996 29.62854191500003, -95.58491499999997 29.628505001000054, -95.58439436999998 29.62837334600004, -95.58438006699997 29.628369729000045, -95.58378399899998 29.628219000000065, -95.58351516199998 29.628134079000063, -95.58264834599997 29.62786026900004, -95.58263800099996 29.627856999000066, -95.58249612099998 29.62780375400007, -95.58177199999994 29.62753200100007, -95.58147663999993 29.627404603000063, -95.58098349599997 29.62719189500006, -95.58083999999995 29.627130001000058, -95.57977047299994 29.626626782000073, -95.57426276599993 29.62403537500005, -95.572665123 29.623283675000035, -95.57229599999992 29.623110000000054, -95.57212505499996 29.62303588900005, -95.57022828399994 29.622213566000024, -95.56953499999997 29.621913001000028, -95.56884430599995 29.62164604100007, -95.56841532999994 29.621480238000057, -95.56824281899996 29.62141356000004, -95.56734099999994 29.621065000000026, -95.56657299999993 29.620738000000063, -95.56636656499995 29.620640984000026, -95.56586103099994 29.620403409000062, -95.56356606299994 29.619324886000072, -95.55945148499995 29.617391235000063, -95.55918499999994 29.617266000000026, -95.55847045299998 29.616987295000037, -95.55783899899996 29.616741000000044, -95.55767785499994 29.616692058000062)"
5316,439452,368540,368714,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,GLIDDEN,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,3.15212301,5.07286041,Active,Union Pacific,66,UP,M,"LINESTRING (-95.52145856099996 29.625632405000047, -95.52122814499995 29.62572126900004, -95.52116859999994 29.625744234000017, -95.51912854499994 29.62653101700005, -95.518973965 29.62659063300002, -95.51859479799998 29.626736868000023, -95.51848561199995 29.62677897600002, -95.51808032999998 29.626935282000026, -95.51333967999993 29.628763597000045, -95.51236999699994 29.62913757300003, -95.51064819799994 29.629801616000062, -95.50774197199996 29.63092245400003, -95.50772031099994 29.630930808000066, -95.50756088499996 29.630992293000077, -95.50449709399997 29.632173899000072, -95.50422839699995 29.632277527000046, -95.50021916299994 29.633823761000023, -95.49735681699997 29.63492767600008, -95.49665154599997 29.635199676000067, -95.49642420799995 29.635287353000017, -95.49631783599995 29.635328378000057, -95.49320960799997 29.636527122000068, -95.49282782599992 29.636674362000065, -95.49201199899994 29.636989000000018, -95.48904014199995 29.638134840000067, -95.48241375299995 29.640689733000038, -95.48232533099996 29.64072382500008, -95.47353453099997 29.64411323800002)"
5317,439453,368847,368853,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,KCS,,,,,,,,HOUSTON,TERMINAL,#N\A,,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,3.77453674,6.07454021,Active,Union Pacific,66,UP,M,"LINESTRING (-95.44779096899997 29.723686580000052, -95.44767597099995 29.717931243000073, -95.44765730099994 29.71699690300004, -95.44764554199998 29.71640841100003, -95.44764476099994 29.716369288000074, -95.44763999999998 29.716131000000054, -95.44763643299996 29.716035278000057, -95.44761799999998 29.71554082600006, -95.44761699899999 29.715514000000045, -95.44758977099997 29.715188362000056, -95.44757406799994 29.715000556000042, -95.44756799999998 29.714928000000043, -95.44755681999999 29.714540558000067, -95.44754200099999 29.714027000000037, -95.44737596299994 29.705952066000073, -95.44731899999992 29.70318176600005, -95.44730574599997 29.702537229000036, -95.44710951899998 29.692994060000036, -95.44704939299997 29.690069808000022, -95.44704445799992 29.689829908000032, -95.44701907399997 29.688595363000047, -95.44700199999994 29.687764999000024, -95.44699518899994 29.687470111000028, -95.44698249099997 29.686920173000033, -95.44697119099997 29.686430896000036, -95.44687509999993 29.682270041000038, -95.44684304699994 29.680882109000038, -95.44681506399996 29.679670345000023, -95.44680998999995 29.679450693000028, -95.44680398299994 29.67919060200007, -95.44679889999998 29.678970487000072, -95.44679264599993 29.67869967500007, -95.44678299999997 29.678282000000014, -95.44677929299996 29.678105225000014, -95.44673173899996 29.675836765000057, -95.44668719499997 29.67371184700005, -95.44668247699998 29.67348681000004, -95.44667834299996 29.673289615000037, -95.44658625199999 29.668896665000013)"
5318,439457,368967,369005,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.55730224,0.89689281,Active,Union Pacific,66,UP,F,"LINESTRING (-95.41447889399994 29.665394664000054, -95.41323951499999 29.665767463000066, -95.41308175699997 29.66581491600004, -95.41033895399994 29.666639937000053, -95.40785200099997 29.667387999000027, -95.40571863799993 29.66802825700007)"
5319,439458,369005,369055,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.45677349,0.73510715,Active,Union Pacific,66,UP,F,"LINESTRING (-95.40571863799993 29.66802825700007, -95.40318552799994 29.668788485000032, -95.40292100699996 29.668867872000078, -95.39972327899994 29.66982756400004, -95.39927459399996 29.669962221000034, -95.39853714899998 29.67018354000005)"
5320,439459,368925,368967,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.92317031,1.48570158,Active,Union Pacific,66,UP,F,"LINESTRING (-95.42898895199994 29.661030114000017, -95.42578302099997 29.661994442000047, -95.41447889399994 29.665394664000054)"
5321,439460,368839,368921,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,1.26417501,2.03449654,Active,Union Pacific,66,UP,F,"LINESTRING (-95.44995305699995 29.65320061300002, -95.44941592299993 29.65340203900008, -95.44929914199997 29.65344583000007, -95.44888705699998 29.653600364000056, -95.44881787599996 29.65362833400008, -95.44774971099996 29.65406020900008, -95.44271104299996 29.65599210500005, -95.44231700999994 29.656144099000063, -95.44185813999997 29.656321102000046, -95.44128402699992 29.656542560000048, -95.44121907899995 29.656567613000046, -95.43411999999994 29.65930600000008, -95.43343167299997 29.65956350900005, -95.43290733799995 29.65975966700006, -95.43229699999995 29.65998800000004, -95.43161244599996 29.660209371000057, -95.43085228099993 29.660455193000065, -95.43068114299996 29.66051053500006)"
5322,439462,368853,368839,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,KCS,,,,,,,,HOUSTON,TERMINAL,#N\A,,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,1.16919872,1.88164671,Active,Union Pacific,66,UP,M,"LINESTRING (-95.44658625199999 29.668896665000013, -95.44658249099994 29.668717269000084, -95.44649501099997 29.664544257000042, -95.44649270699995 29.66443430500005, -95.44636299999995 29.658247000000078, -95.44638799999996 29.657499000000023, -95.44643299999994 29.657172000000045, -95.44647602699996 29.656977052000066, -95.44651399999998 29.656805000000077, -95.44665338099998 29.656407171000065, -95.44676099999998 29.65610000000003, -95.44692999999995 29.655751000000077, -95.44702149799997 29.655593448000047, -95.44711699999998 29.655429000000037, -95.44727766699997 29.655198375000055, -95.44738799999998 29.655040000000042, -95.44752568499995 29.654876370000064, -95.44754779999992 29.654850085000067, -95.44766140199992 29.654715076000052, -95.44771699999995 29.654649001000067, -95.44773340199997 29.65463301300002, -95.44776288799993 29.65460427100004, -95.447819172 29.65454940800004, -95.44789308899998 29.654477357000083, -95.44805207399996 29.654322387000036, -95.44811300099995 29.654263000000064, -95.44814948299995 29.654234117000048, -95.44824166999994 29.654161137000067, -95.44847299999998 29.653978000000038, -95.44867299299995 29.65384773400006, -95.44878792499999 29.65377287300004, -95.44881574099998 29.653754756000072, -95.44884299999994 29.65373700000003, -95.44917400099996 29.653558000000036, -95.44943297099996 29.653439199000033, -95.44995305699995 29.65320061300002)"
5323,439464,369497,369518,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,HOUSTON WEST BELT,#N\A,,,,S,STRACNET designated line,2,M,Main sub network,0.69635939,1.12068404,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34379871299996 29.745261340000077, -95.34379358599993 29.74525641300006, -95.34373713999997 29.745202168000045, -95.34355383099995 29.745026013000036, -95.34351658699995 29.744990223000055, -95.34345599999993 29.744931999000077, -95.34333969399994 29.744779638000075, -95.34314209099993 29.74452077100004, -95.34312699999997 29.744501000000064, -95.34303847099994 29.744346851000042, -95.34302849499994 29.744329478000054, -95.34291791699995 29.744136938000032, -95.34289899899993 29.74410400000004, -95.34279399999997 29.743867001000062, -95.34276305599997 29.743782543000044, -95.34254486699996 29.743187045000074, -95.34231547399997 29.742560965000045, -95.34228712399992 29.742483589000067, -95.34207495699997 29.74190452000004, -95.34190449399996 29.741439280000066, -95.34166936999998 29.740797558000054, -95.34162299899998 29.740671001000063, -95.34096900099996 29.73875099900004, -95.34076525699999 29.738135646000043, -95.34061694299999 29.737687701000024, -95.34020643699995 29.73644786900006, -95.33998587599996 29.735781722000063)"
5324,439466,369482,369444,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,HOUSTON WEST BELT,#N\A,CONGRESS,,,S,STRACNET designated line,2,M,Main sub network,0.50734418,0.81649295,Active,Union Pacific,66,UP,F,"MULTILINESTRING ((-95.34525909599995 29.763996642000045, -95.34534969499998 29.763837024000047, -95.34540892899996 29.763746250000054, -95.34555199999993 29.763527000000053, -95.34627679299994 29.76260991100003, -95.34631180894732 29.762565605147145), (-95.34662190060119 29.762173241371993, -95.34664400999996 29.762145266000058, -95.34789705599995 29.76055977000004, -95.34834781499994 29.759989418000025, -95.34855599999996 29.759726000000036, -95.34875140199995 29.759454228000045, -95.34882758899994 29.75934826600006, -95.34885215799993 29.759314094000025, -95.34888345899996 29.75927055800004, -95.34892699999993 29.759210000000056, -95.34898616499999 29.759097286000042, -95.34898740199996 29.759094927000028, -95.34906399999994 29.758949000000023, -95.34907377599995 29.75892434400002, -95.34908604699996 29.758893391000072, -95.34909524799997 29.75887018600003, -95.34915399999994 29.758722000000024, -95.34919756899994 29.758549296000076, -95.34919810899997 29.75854715600008, -95.34921728799998 29.758471131000086, -95.34926500099999 29.758282000000058, -95.34927188399995 29.758168298000037, -95.34927202099999 29.75816604100004, -95.34927656199993 29.75809101200009, -95.34929399999999 29.757803000000013, -95.34927627399998 29.75765650100004))"
5325,439470,369618,369646,48,TX,201,48201,TX,5,District: 5,BNSF,,,KCS,UP,,,,,,,,RED RIVER,MYKAWA,ALVIN-NEW SO YD,,,,S,STRACNET designated line,1,M,Main sub network,0.62946634,1.0130299,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.32677423799997 29.69555087900006, -95.32673294399994 29.695413716000072, -95.32673206599998 29.695410783000053, -95.32673006099996 29.695404082000035, -95.32671052899997 29.69533882100004, -95.32668434799994 29.69525134700007, -95.32655645999994 29.694824052000033, -95.32650839999997 29.69466347300006, -95.32570178699994 29.691968445000036, -95.32564548499992 29.69178033100008, -95.32412761899995 29.68670888300005)"
5326,439471,369861,370163,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.78895079,1.26969575,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29994438399996 29.711357702000033, -95.29754144299994 29.712703795000035, -95.29728571999998 29.712846953000046, -95.29676256699997 29.713139828000063, -95.29500315799997 29.71412478400003, -95.29489383199996 29.71418598700005, -95.29431965199996 29.714507426000072, -95.29153644299998 29.71607247700006, -95.29107649299998 29.71633111400006, -95.29103599699994 29.716353888000068, -95.29063671099998 29.71657759300005, -95.29053891299998 29.716632386000054, -95.29024336399998 29.716797972000045, -95.29016159399998 29.71684378700007, -95.29010850999998 29.716873528000065, -95.28890399999995 29.717548378000053)"
5327,439472,369646,369787,48,TX,201,48201,TX,5,District: 5,BNSF,,,UP,,,,,,,,,RED RIVER,MYKAWA,ALVIN-NEW SO YD,,,,S,STRACNET designated line,1,M,Main sub network,4.21154813,6.77784326,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.32412761899995 29.68670888300005, -95.32401333699994 29.68632704000004, -95.32400923699998 29.686313346000077, -95.32282288299994 29.68234953800002, -95.32145673299999 29.677784991000053, -95.32144767099997 29.677754711000034, -95.32022738399996 29.673677528000038, -95.31802815599997 29.666329532000077, -95.31793560199998 29.666020294000074, -95.31464655599996 29.655031031000068, -95.31440795799995 29.65423383300004, -95.31386385399998 29.652415888000053, -95.31377761299996 29.652127744000023, -95.31199286999997 29.64616461100006, -95.31195539699995 29.646039406000057, -95.31191364999995 29.645899928000045, -95.31174768799997 29.645345420000048, -95.31064085399997 29.641647290000044, -95.30851368299994 29.63454005000005, -95.30642179499995 29.627550698000046)"
5328,439476,370424,370541,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,0.99301954,1.59811323,Active,Union Pacific,66,UP,F,"MULTILINESTRING ((-95.26673038999996 29.714546446000043, -95.26564083099998 29.714152852000044, -95.26453996399992 29.71375517100006, -95.26106757299998 29.712500794000036, -95.26071078199999 29.712371905000044, -95.25831099999998 29.71150500100003, -95.25581421667732 29.71058999790486), (-95.25512829245861 29.71033862606414, -95.25505624099998 29.71031222100005, -95.25370125599993 29.70981565500005, -95.25311155299993 29.709599546000042, -95.25298999999994 29.709554999000012, -95.25296347099999 29.70954582400003, -95.25266557799995 29.709442783000036, -95.25151925299997 29.709046273000066, -95.25147134699994 29.709031225000054))"
5329,439477,370310,370388,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,0.43884873,0.70625998,Active,Union Pacific,66,UP,F,"LINESTRING (-95.27472339699996 29.719430531000054, -95.27431577899995 29.71902279900007, -95.27425205999998 29.718959060000028, -95.27425000099997 29.718956999000053, -95.27419952499999 29.718911085000048, -95.27392899999995 29.71866500000004, -95.27313430599996 29.71800260600004, -95.27311020099997 29.717982515000084, -95.27290471799994 29.717811241000053, -95.27229347599996 29.71730175800007, -95.27154342699998 29.71667657800004, -95.27138785799995 29.71654690800005, -95.27124999999995 29.71643200000004, -95.27113701299997 29.716349639000036, -95.27090148299999 29.716177951000066, -95.27073033299996 29.716053193000032, -95.27059699899995 29.715956000000048, -95.27050344799994 29.715904655000024, -95.27031834599994 29.715803064000053, -95.26995200099998 29.71560200000003, -95.26979351299997 29.715530824000034, -95.26963302799997 29.71545875000005, -95.26959122699996 29.715439977000074, -95.26943559299997 29.71538517800006, -95.26943202899996 29.715383923000044, -95.26935794599994 29.71535783800004, -95.26922676899993 29.715311650000046)"
5330,439479,370258,370273,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,#N\A,STRANG,SOUTH SIDE,,,,,,1,M,Main sub network,0.26020886,0.41876641,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28141999999995 29.723370000000045, -95.28141609799995 29.723118311000054, -95.28139999899996 29.722080000000048, -95.28135999899996 29.721880000000045, -95.28127000099994 29.72166000000004, -95.28115534099997 29.721470811000067, -95.28107431299996 29.721379781000053, -95.28102999999999 29.721329999000034, -95.28080913399997 29.72112858300006, -95.28059026799995 29.72096542800005, -95.28007692699997 29.720718705000017, -95.27972999999997 29.720650000000035, -95.27939050799996 29.72057097600004)"
5331,439480,370224,370233,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.07602104,0.12234425,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28497401499999 29.719768853000048, -95.28477819999993 29.719896497000025, -95.28441471299998 29.720214390000017, -95.28440920199994 29.720219212000043, -95.28405760099999 29.720526709000058)"
5332,439481,370238,370273,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,PTRA,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.26348993,0.42404678,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28375199999994 29.720417000000047, -95.28370368599997 29.720428270000077, -95.28360972899996 29.720450186000047, -95.28336669399992 29.720506873000023, -95.28334899899993 29.720511000000045, -95.28310647999996 29.72054454700002, -95.28300200099993 29.720559000000023, -95.28238099899994 29.720575000000057, -95.28111839099995 29.72060182600005, -95.280263 29.720620000000057, -95.28017142299994 29.720614853000033, -95.28011290199997 29.720611567000027, -95.28008554299998 29.720610030000046, -95.27939050799996 29.72057097600004)"
5333,439482,370664,370694,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,0.72641476,1.16905357,Active,Union Pacific,66,UP,F,"LINESTRING (-95.22984303799994 29.70937839400005, -95.22978046699994 29.70938424900003, -95.22974607499997 29.709388295000053, -95.22945685799998 29.709422321000027, -95.22934912499994 29.70944202800007, -95.22933879499998 29.709443918000034, -95.22928960899996 29.709452915000035, -95.22906662799996 29.709493704000064, -95.22902881799996 29.709505694000033, -95.22889079999997 29.709549465000073, -95.22868099999992 29.70961600000003, -95.22843198199996 29.709732145000032, -95.22837182299997 29.70976020400008, -95.22819528699993 29.709858761000085, -95.22812499899999 29.709898000000063, -95.22805134199996 29.70995139800004, -95.22788530499997 29.71007176800003, -95.22782930699996 29.71011236400005, -95.22773979199997 29.710191949000027, -95.22765199999996 29.71027000000004, -95.22763551999996 29.710289133000053, -95.22744439099995 29.71051101100005, -95.22733499999998 29.710638000000063, -95.22719720199994 29.710864383000043, -95.22716716599996 29.710913727000044, -95.22716699999995 29.71091400000005, -95.22713122899997 29.710998284000016, -95.22702013299994 29.711260056000075, -95.22701952499993 29.71126149000001, -95.22700699999996 29.711291001000063, -95.22698225899995 29.711378191000062, -95.22667528299995 29.71246001200005, -95.22626415199994 29.713908882000055, -95.22624000099994 29.71399400000007, -95.22620215499994 29.714104445000036, -95.22614199999997 29.714280000000038, -95.22601885899995 29.71454118400003, -95.22600897699994 29.71456214400005, -95.22598799399996 29.714606650000064, -95.22598499999998 29.71461300000004, -95.22598239099995 29.714616771000046, -95.22574217499994 29.714963950000026, -95.22571999999995 29.71499600100003, -95.22544214999995 29.715266059000033, -95.22539899899992 29.71530800100003, -95.22517121899995 29.715469100000067, -95.22497199999997 29.715609999000044, -95.22476976599994 29.71570914300003, -95.22451099899995 29.715835999000028, -95.22438307199995 29.715876399000024, -95.22420699999996 29.715931999000077, -95.22397255799994 29.71597791300007, -95.22391271499997 29.715989634000028, -95.22369776499994 29.716011128000048, -95.22357958999999 29.716022946000066, -95.22279556799997 29.716059411000046, -95.22276105499998 29.71606101700005, -95.22271202799998 29.716061500000034, -95.22230054499992 29.71606555800002)"
5334,439487,371291,371440,48,TX,201,48201,TX,5,District: 5,UP,BNSF,,AMTK,KCS,,,,,,,,HOUSTON,HOUSTON (UP),#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,1.45712598,2.34502164,Active,Union Pacific,66,UP,M,"LINESTRING (-95.12841782599996 29.868102196000063, -95.12822629999994 29.868184637000056, -95.12522443799998 29.869476774000063, -95.11463622499997 29.874034418000058, -95.11180956099996 29.87525114100003, -95.11150276899997 29.875383199000055, -95.10745133899995 29.877127116000057, -95.10676258199997 29.877423587000063, -95.10665425599996 29.877470216000063)"
5335,439488,370471,370602,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,1.42243147,2.28918613,Active,Union Pacific,66,UP,M,"LINESTRING (-95.26226967599995 29.810675305000075, -95.26155346199994 29.81097245000005, -95.26131601399997 29.811070964000074, -95.24853375399994 29.816561556000064, -95.24497337599995 29.81807800900004, -95.24218464699999 29.819277256000078, -95.24101292999995 29.819778442000032)"
5336,439489,369115,369179,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,0.41927849,0.67476467,Active,Union Pacific,66,UP,M,"LINESTRING (-95.38918011799996 29.770578888000035, -95.38699392599993 29.770347692000016, -95.38550991999995 29.77019075400004, -95.38276989399998 29.76990098900006, -95.38225346399996 29.769846376000043)"
