,10:00-10:05,10:05-10:10,10:10-10:15,10:15-10:20,10:20-10:25,10:25-10:30,10:30-10:35,10:35-10:40,10:40-10:45,10:45-10:50,10:50-10:55,10:55-11:00,11:00-11:05,11:05-11:10,11:10-11:15,11:15-11:20,11:20-11:25,11:25-11:30,11:30-11:35,11:35-11:40,11:40-11:45,11:45-11:50,11:50-11:55,11:55-12:00,12:00-12:05,12:05-12:10,12:10-12:15,12:15-12:20,12:20-12:25,12:25-12:30,12:30-12:35,12:35-12:40,12:40-12:45,12:45-12:50,12:50-12:55,12:55-13:00,13:00-13:05,13:05-13:10,13:10-13:15,13:15-13:20,13:20-13:25,13:25-13:30,13:30-13:35,13:35-13:40,13:40-13:45,13:45-13:50,13:50-13:55,13:55-14:00,14:00-14:05,14:05-14:10,14:10-14:15,14:15-14:20,14:20-14:25,14:25-14:30,14:30-14:35,14:35-14:40,14:40-14:45,14:45-14:50,14:50-14:55,14:55-15:00
440652H,33.54205607476636,30.19626168224299,25.261682242990656,19.878504672897197,20.018691588785046,40.953271028037385,35.345794392523366,23.64485981308411,22.009345794392523,30.560747663551403,21.738317757009344,28.177570093457945,30.700934579439252,26.233644859813083,21.934579439252335,28.77570093457944,23.878504672897197,20.60747663551402,20.953271028037385,20.242990654205606,18.037383177570092,19.94392523364486,18.44859813084112,30.542056074766354,17.149532710280372,19.878504672897197,21.252336448598133,23.046728971962615,24.42056074766355,30.906542056074766,37.26168224299065,30.981308411214954,26.373831775700936,30.0,34.4392523364486,23.05607476635514,23.261682242990656,23.49532710280374,31.747663551401867,35.85981308411215,36.60747663551402,36.345794392523366,32.81308411214953,30.69158878504673,30.53271028037383,26.700934579439252,24.88785046728972,21.130841121495326,24.654205607476637,33.08411214953271,26.49532710280374,31.57943925233645,24.35514018691589,26.009345794392523,23.261682242990656,24.981308411214954,29.766355140186917,21.953271028037385,19.766355140186917,18.130841121495326
743653D,6.548780487804878,10.097560975609756,11.78048780487805,6.829268292682927,3.8292682926829267,11.085365853658537,14.170731707317072,13.475609756097562,17.853658536585368,18.170731707317074,19.158536585365855,27.658536585365855,26.085365853658537,13.829268292682928,18.036585365853657,18.414634146341463,19.634146341463413,18.9390243902439,12.146341463414634,13.207317073170731,15.71951219512195,16.475609756097562,15.024390243902438,19.20731707317073,12.292682926829269,16.646341463414632,14.207317073170731,12.134146341463415,18.902439024390244,12.012195121951219,18.24390243902439,11.024390243902438,7.317073170731708,8.073170731707316,12.829268292682928,15.487804878048781,7.682926829268292,11.378048780487806,13.853658536585366,11.573170731707316,12.74390243902439,11.231707317073171,9.402439024390244,13.75609756097561,8.585365853658537,10.804878048780488,8.182926829268293,11.353658536585366,10.402439024390244,14.012195121951219,11.78048780487805,8.646341463414634,10.317073170731707,9.487804878048781,11.902439024390244,11.524390243902438,12.560975609756097,9.25609756097561,16.695121951219512,15.207317073170731
176296N,0.0,14.923076923076923,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.076923076923077,33.53846153846154,0.0,0.0,0.0,19.0,7.615384615384615,0.0,0.0,0.0,0.0,4.923076923076923,20.846153846153847,32.46153846153846,7.615384615384615,0.0,13.615384615384615,10.538461538461538,21.307692307692307,2.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.307692307692307,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.076923076923077,23.076923076923077,23.076923076923077,31.923076923076923,6.3076923076923075,7.461538461538462,0.0,5.846153846153846,16.0
758656T,12.233009708737864,17.485436893203882,19.02912621359223,8.912621359223301,7.135922330097087,9.805825242718447,6.776699029126213,9.660194174757281,10.54368932038835,16.0873786407767,17.02912621359223,15.825242718446601,10.699029126213592,11.12621359223301,12.0,12.485436893203884,10.87378640776699,10.41747572815534,6.699029126213592,6.805825242718447,9.330097087378642,12.009708737864077,14.689320388349515,14.466019417475728,12.067961165048544,12.805825242718447,6.359223300970874,9.533980582524272,12.466019417475728,10.436893203883495,5.058252427184466,6.961165048543689,5.786407766990291,7.961165048543689,6.815533980582524,7.572815533980583,9.805825242718447,9.398058252427184,5.825242718446602,9.815533980582524,9.504854368932039,8.96116504854369,9.194174757281553,10.854368932038835,8.320388349514563,9.660194174757281,9.145631067961165,10.067961165048544,7.029126213592233,6.776699029126213,10.310679611650485,9.398058252427184,10.242718446601941,16.04854368932039,14.16504854368932,9.0,7.844660194174757,8.864077669902912,18.74757281553398,13.048543689320388
023228P,20.511904761904763,11.964285714285714,15.589285714285714,11.476190476190476,25.214285714285715,16.625,12.392857142857142,9.69047619047619,10.416666666666666,16.738095238095237,16.738095238095237,13.910714285714286,10.077380952380953,15.101190476190476,24.077380952380953,16.81547619047619,14.369047619047619,20.232142857142858,15.380952380952381,14.607142857142858,13.107142857142858,16.785714285714285,29.214285714285715,20.863095238095237,15.255952380952381,29.470238095238095,21.11904761904762,21.452380952380953,17.404761904761905,16.273809523809526,11.625,12.851190476190476,9.404761904761905,9.232142857142858,10.196428571428571,17.071428571428573,18.06547619047619,15.880952380952381,19.172619047619047,20.49404761904762,20.571428571428573,16.101190476190474,20.172619047619047,18.553571428571427,14.946428571428571,16.50595238095238,24.56547619047619,18.06547619047619,15.779761904761905,15.44047619047619,19.708333333333332,18.81547619047619,14.404761904761905,20.922619047619047,18.773809523809526,14.43452380952381,15.047619047619047,14.44047619047619,11.101190476190476,23.166666666666668
023207W,67.79775280898876,82.70786516853933,74.98876404494382,91.28089887640449,80.62921348314607,84.06741573033707,73.49438202247191,73.59550561797752,76.7752808988764,82.4494382022472,71.42696629213484,64.59550561797752,71.79775280898876,67.6067415730337,68.57303370786516,64.23595505617978,74.80898876404494,59.47191011235955,67.15730337078652,69.73033707865169,66.23595505617978,84.24719101123596,82.82022471910112,101.33707865168539,69.43820224719101,69.75280898876404,85.62921348314607,97.56179775280899,85.68539325842697,78.96629213483146,69.43820224719101,76.85393258426966,73.91011235955057,76.4494382022472,70.02247191011236,53.57303370786517,58.561797752808985,64.58426966292134,64.76404494382022,62.57303370786517,71.46067415730337,69.28089887640449,63.764044943820224,76.65168539325843,66.8314606741573,59.01123595505618,63.07865168539326,63.0,59.325842696629216,60.73033707865169,56.42696629213483,55.157303370786515,65.15730337078652,68.07865168539325,65.4494382022472,60.853932584269664,61.10112359550562,62.337078651685395,62.752808988764045,63.91011235955056
288208L,10.25,10.714285714285714,0.5,0.0,0.0,5.25,0.0,0.0,0.0,0.0,2.1785714285714284,0.0,0.0,2.5714285714285716,0.0,5.0,0.0,2.7142857142857144,0.0,0.0,0.0,11.178571428571429,0.75,5.892857142857143,8.571428571428571,6.035714285714286,12.571428571428571,2.107142857142857,5.714285714285714,0.0,0.0,2.25,0.0,0.0,8.857142857142858,10.714285714285714,16.285714285714285,16.214285714285715,2.892857142857143,3.5357142857142856,1.3214285714285714,4.892857142857143,6.107142857142857,6.428571428571429,0.0,0.0,9.25,3.642857142857143,0.0,1.4642857142857142,5.964285714285714,4.928571428571429,4.821428571428571,10.0,3.0714285714285716,0.0,6.071428571428571,0.0,4.142857142857143,0.0
745046X,8.49586776859504,12.768595041322314,10.438016528925619,10.768595041322314,10.041322314049587,14.87603305785124,12.132231404958677,7.223140495867769,3.8512396694214877,0.7107438016528925,1.8512396694214877,4.231404958677686,0.2396694214876033,0.4297520661157025,3.9338842975206614,2.479338842975207,0.45454545454545453,1.9256198347107438,4.743801652892562,6.677685950413223,7.1652892561983474,2.479338842975207,3.5454545454545454,5.735537190082645,10.785123966942148,7.256198347107438,7.31404958677686,10.256198347107437,10.479338842975206,9.512396694214877,6.925619834710743,7.43801652892562,8.347107438016529,9.347107438016529,8.272727272727273,13.115702479338843,18.669421487603305,12.570247933884298,10.809917355371901,8.272727272727273,9.066115702479339,5.595041322314049,8.082644628099173,8.223140495867769,6.512396694214876,8.933884297520661,9.066115702479339,6.371900826446281,7.43801652892562,8.553719008264462,7.297520661157025,6.900826446280992,6.793388429752066,10.198347107438016,7.8347107438016526,8.231404958677686,6.454545454545454,5.975206611570248,5.950413223140496,9.314049586776859
755351K,14.788732394366198,18.58450704225352,16.64788732394366,13.795774647887324,18.274647887323944,21.204225352112676,18.281690140845072,12.725352112676056,12.190140845070422,11.507042253521126,12.387323943661972,13.845070422535212,14.788732394366198,13.253521126760564,12.80281690140845,12.67605633802817,13.154929577464788,15.408450704225352,18.41549295774648,19.014084507042252,15.873239436619718,14.387323943661972,14.02112676056338,17.007042253521128,21.45774647887324,16.950704225352112,17.570422535211268,18.95774647887324,20.239436619718308,19.802816901408452,15.767605633802816,14.788732394366198,17.140845070422536,17.12676056338028,18.267605633802816,21.288732394366196,24.225352112676056,19.549295774647888,20.176056338028168,20.654929577464788,16.380281690140844,15.683098591549296,18.964788732394368,18.577464788732396,19.47887323943662,21.619718309859156,18.260563380281692,16.725352112676056,17.0,20.133802816901408,17.077464788732396,18.795774647887324,22.443661971830984,23.3943661971831,17.922535211267604,22.528169014084508,22.443661971830984,15.47887323943662,16.901408450704224,23.380281690140844
743662C,24.682926829268293,28.764227642276424,22.170731707317074,23.788617886178862,24.0,21.45528455284553,21.30081300813008,25.382113821138212,23.08130081300813,21.54471544715447,30.24390243902439,25.1869918699187,22.70731707317073,23.878048780487806,23.479674796747968,28.178861788617887,27.398373983739837,23.495934959349594,23.48780487804878,26.11382113821138,27.317073170731707,26.178861788617887,26.51219512195122,27.252032520325205,27.048780487804876,29.178861788617887,27.130081300813007,29.227642276422763,29.67479674796748,33.91869918699187,33.983739837398375,33.422764227642276,30.040650406504064,32.67479674796748,36.390243902439025,34.17886178861789,37.5609756097561,34.80487804878049,34.56910569105691,34.7479674796748,35.71544715447155,37.63414634146341,38.75609756097561,36.73170731707317,37.99186991869919,36.357723577235774,38.84552845528455,39.707317073170735,41.040650406504064,38.040650406504064,34.16260162601626,33.86991869918699,35.68292682926829,38.1219512195122,36.203252032520325,35.56910569105691,34.86178861788618,38.609756097560975,34.83739837398374,37.16260162601626
743673P,20.644970414201183,14.757396449704142,17.585798816568047,16.242603550295858,14.248520710059172,13.201183431952662,15.946745562130177,18.37869822485207,16.414201183431953,21.449704142011836,16.964497041420117,16.680473372781066,14.071005917159763,15.106508875739644,16.5207100591716,15.816568047337277,14.514792899408285,13.85207100591716,19.39644970414201,18.62721893491124,19.994082840236686,20.59171597633136,15.597633136094675,19.579881656804734,17.236686390532544,18.62130177514793,17.98224852071006,18.28994082840237,17.893491124260354,16.0,15.384615384615385,17.254437869822485,16.24852071005917,16.650887573964496,15.7396449704142,15.63905325443787,17.28994082840237,11.887573964497042,11.437869822485206,11.893491124260356,11.520710059171599,13.538461538461538,11.715976331360947,13.449704142011834,12.189349112426035,13.745562130177515,12.946745562130177,12.715976331360947,11.644970414201184,8.994082840236686,12.538461538461538,12.349112426035504,17.071005917159763,11.449704142011834,11.390532544378699,12.201183431952662,14.49112426035503,11.899408284023668,13.195266272189349,12.372781065088757
758748F,11.172043010752688,11.473118279569892,11.333333333333334,12.451612903225806,14.021505376344086,8.53763440860215,13.064516129032258,4.268817204301075,4.849462365591398,4.752688172043011,7.516129032258065,5.870967741935484,4.655913978494624,0.21505376344086022,5.182795698924731,4.860215053763441,1.3978494623655915,1.3118279569892473,6.010752688172043,3.774193548387097,1.7419354838709677,0.0,0.3763440860215054,2.4516129032258065,2.5376344086021505,1.5591397849462365,5.053763440860215,7.827956989247312,7.344086021505376,4.483870967741935,5.666666666666667,5.516129032258065,5.161290322580645,1.118279569892473,3.7096774193548385,3.3655913978494625,3.4086021505376345,0.946236559139785,4.774193548387097,7.634408602150538,4.78494623655914,1.7634408602150538,1.6559139784946237,0.978494623655914,5.860215053763441,5.688172043010753,2.7096774193548385,2.6774193548387095,2.225806451612903,3.3333333333333335,1.1720430107526882,0.0,0.0,3.7204301075268815,4.860215053763441,0.07526881720430108,2.7096774193548385,0.0,1.10752688172043,2.6236559139784945
758757E,1.1547619047619047,4.5,8.357142857142858,7.464285714285714,1.8452380952380953,11.119047619047619,3.6785714285714284,1.9642857142857142,3.0714285714285716,2.2857142857142856,3.5238095238095237,1.4523809523809523,1.2380952380952381,4.619047619047619,3.0833333333333335,0.8214285714285714,0.7619047619047619,6.440476190476191,4.440476190476191,3.392857142857143,0.0,1.4047619047619047,2.880952380952381,0.6785714285714286,3.7142857142857144,0.7976190476190477,7.2976190476190474,3.7142857142857144,0.0,0.5238095238095238,4.083333333333333,4.273809523809524,3.0714285714285716,3.1666666666666665,2.0952380952380953,5.226190476190476,1.0238095238095237,6.464285714285714,6.559523809523809,1.7976190476190477,2.6785714285714284,2.6785714285714284,0.0,4.25,4.345238095238095,2.5476190476190474,4.011904761904762,4.130952380952381,2.1666666666666665,0.5476190476190477,1.4404761904761905,1.4047619047619047,7.559523809523809,5.785714285714286,1.7619047619047619,6.214285714285714,5.619047619047619,1.5476190476190477,1.869047619047619,0.0
758758L,5.086021505376344,8.129032258064516,14.182795698924732,7.010752688172043,6.903225806451613,11.311827956989248,4.387096774193548,6.204301075268817,6.451612903225806,4.559139784946237,6.795698924731183,4.354838709677419,7.56989247311828,6.21505376344086,5.655913978494624,1.2688172043010753,0.2903225806451613,6.591397849462366,5.182795698924731,2.086021505376344,0.0,2.4623655913978495,1.2580645161290323,1.0,2.6451612903225805,4.064516129032258,5.419354838709677,1.4516129032258065,0.989247311827957,1.053763440860215,2.032258064516129,2.3118279569892475,1.8172043010752688,2.6451612903225805,0.5913978494623656,5.344086021505376,0.7096774193548387,6.870967741935484,5.053763440860215,0.5698924731182796,0.4838709677419355,2.2903225806451615,1.3118279569892473,4.021505376344086,1.1720430107526882,2.989247311827957,3.064516129032258,2.5806451612903225,2.064516129032258,0.0,0.46236559139784944,1.5591397849462365,3.3440860215053765,2.924731182795699,1.956989247311828,3.7204301075268815,3.7096774193548385,1.10752688172043,0.5913978494623656,0.0
755622N,20.119760479041915,22.75449101796407,26.20359281437126,33.51497005988024,31.682634730538922,27.45508982035928,30.682634730538922,35.778443113772454,26.15568862275449,35.62874251497006,39.40718562874252,24.461077844311376,27.54491017964072,19.604790419161677,15.401197604790418,22.161676646706585,19.49700598802395,17.766467065868262,26.724550898203592,26.17365269461078,27.227544910179642,23.4251497005988,33.131736526946106,25.778443113772454,16.97005988023952,12.964071856287426,17.538922155688624,29.61676646706587,23.491017964071855,19.035928143712574,23.191616766467067,27.81437125748503,24.5748502994012,22.25748502994012,21.065868263473053,21.047904191616766,22.305389221556887,21.748502994011975,27.646706586826348,33.19760479041916,22.53293413173653,18.407185628742514,26.79640718562874,26.59880239520958,21.922155688622755,27.646706586826348,21.880239520958085,27.15568862275449,27.25748502994012,23.01197604790419,24.910179640718564,24.275449101796408,28.550898203592816,18.37125748502994,22.652694610778443,31.526946107784433,27.850299401197606,27.51497005988024,20.766467065868262,17.95808383233533
755327J,10.16058394160584,10.379562043795621,11.686131386861314,7.992700729927007,8.91970802919708,9.94890510948905,5.372262773722627,1.5474452554744527,3.3795620437956204,10.613138686131387,8.372262773722628,11.211678832116789,12.75912408759124,6.160583941605839,8.89051094890511,9.518248175182482,12.072992700729927,8.576642335766424,7.598540145985401,11.613138686131387,4.5036496350364965,3.9416058394160585,3.6496350364963503,9.248175182481752,13.547445255474452,4.591240875912408,6.810218978102189,13.116788321167883,12.540145985401459,7.846715328467154,5.248175182481752,6.423357664233577,8.218978102189782,6.423357664233577,7.9416058394160585,4.737226277372263,2.394160583941606,0.0,3.0802919708029197,3.8394160583941606,7.956204379562044,7.021897810218978,6.9489051094890515,7.299270072992701,8.635036496350365,6.671532846715328,8.10948905109489,2.6350364963503647,6.788321167883212,4.766423357664234,6.043795620437956,9.16058394160584,8.218978102189782,6.386861313868613,2.54014598540146,1.3576642335766422,9.18978102189781,8.562043795620438,5.094890510948905,6.2773722627737225
