,Station_Ind,Crossing_Ind,Time_In_Seconds
1218,4,3,1379
1219,4,4,1214
1220,0,0,989
1221,0,1,450
1222,0,2,992
1223,0,3,756
1224,0,4,322
1225,1,0,291
1226,1,1,652
1227,1,2,199
1228,1,3,514
1229,1,4,985
1230,2,0,202
1231,2,1,578
1232,2,2,110
1233,2,3,424
1234,2,4,912
1235,3,0,920
1236,3,1,375
1237,3,2,924
1238,3,3,688
1239,3,4,353
1240,4,0,672
1241,4,1,571
1242,4,2,737
1243,4,3,582
1244,4,4,949
1245,0,0,314
1246,0,1,428
1247,0,2,409
1248,0,3,732
1249,0,4,515
1250,1,0,1205
1251,1,1,1319
1252,1,2,1300
1253,1,3,578
1254,1,4,617
1255,2,0,1132
1256,2,1,1246
1257,2,2,1227
1258,2,3,489
1259,2,4,544
1260,3,0,781
1261,3,1,895
1262,3,2,875
1263,3,3,664
1264,3,4,447
1265,4,0,1120
1266,4,1,1234
1267,4,2,1215
1268,4,3,568
1269,4,4,634
1270,0,0,910
1271,0,1,961
1272,0,2,1368
1273,0,3,1989
1274,0,4,1305
1275,1,0,754
1276,1,1,734
1277,1,2,1194
1278,1,3,1815
1279,1,4,1706
1280,2,0,740
1281,2,1,720
1282,2,2,1181
1283,2,3,1802
1284,2,4,1674
1285,3,0,838
1286,3,1,888
1287,3,2,1295
1288,3,3,1916
1289,3,4,1555
1290,4,0,800
1291,4,1,851
1292,4,2,1258
1293,4,3,1879
1294,4,4,1558
1295,0,0,1085
1296,0,1,1074
1297,0,2,1125
1298,0,3,1204
1299,0,4,1290
1300,1,0,1026
1301,1,1,901
1302,1,2,951
1303,1,3,1031
1304,1,4,1116
1305,2,0,1012
1306,2,1,887
1307,2,2,938
1308,2,3,1017
1309,2,4,1103
1310,3,0,1012
1311,3,1,1002
1312,3,2,1052
1313,3,3,1132
1314,3,4,1217
1315,4,0,975
1316,4,1,964
1317,4,2,1015
1318,4,3,1095
1319,4,4,1180
1320,0,0,1385
1321,0,1,1501
1322,0,2,943
1323,0,3,1088
1324,0,4,891
1325,1,0,1212
1326,1,1,1110
1327,1,2,803
1328,1,3,776
1329,1,4,195
1330,2,0,1198
1331,2,1,1037
1332,2,2,714
1333,2,3,756
1334,2,4,122
1335,3,0,1313
1336,3,1,1433
1337,3,2,871
1338,3,3,1020
1339,3,4,823
1340,4,0,1276
1341,4,1,1407
1342,4,2,561
1343,4,3,651
1344,4,4,811
1345,0,0,914
1346,0,1,844
1347,0,2,1017
1348,0,3,1232
1349,0,4,1274
1350,1,0,365
1351,1,1,304
1352,1,2,486
1353,1,3,907
1354,1,4,883
1355,2,0,291
1356,2,1,230
1357,2,2,413
1358,2,3,834
1359,2,4,810
1360,3,0,846
1361,3,1,776
1362,3,2,949
1363,3,3,1164
1364,3,4,1206
1365,4,0,862
1366,4,1,764
1367,4,2,922
1368,4,3,1137
1369,4,4,1179
1370,0,0,1356
1371,0,1,1449
1372,0,2,1618
1373,0,3,1686
1374,0,4,1606
1375,1,0,965
1376,1,1,1058
1377,1,2,1227
1378,1,3,1295
1379,1,4,1215
1380,2,0,892
1381,2,1,984
1382,2,2,1154
1383,2,3,1221
1384,2,4,1142
1385,3,0,1245
1386,3,1,1270
1387,3,2,1467
1388,3,3,1618
1389,3,4,1538
1390,4,0,1261
1391,4,1,1354
1392,4,2,1524
1393,4,3,1591
1394,4,4,1511
1395,0,0,626
1396,1,0,937
1397,2,0,864
1398,3,0,370
1399,4,0,836
1400,0,0,638
1401,0,1,462
1402,0,2,1833
1403,0,3,763
1404,0,4,967
1405,1,0,1525
1406,1,1,1349
1407,1,2,1309
1408,1,3,565
1409,1,4,479
1410,2,0,1512
1411,2,1,1336
1412,2,2,1088
1413,2,3,1137
1414,2,4,891
1415,3,0,1083
1416,3,1,928
1417,3,2,1905
1418,3,3,849
1419,3,4,1054
1420,4,0,1757
1421,4,1,1669
1422,4,2,1127
1423,4,3,1236
1424,4,4,774
1425,0,0,739
1426,0,1,821
1427,0,2,747
1428,0,3,1074
1429,0,4,788
1430,1,0,838
1431,1,1,997
1432,1,2,530
1433,1,3,1305
1434,1,4,1061
1435,2,0,780
1436,2,1,787
1437,2,2,885
1438,2,3,705
1439,2,4,851
1440,3,0,990
1441,3,1,1072
1442,3,2,833
1443,3,3,1325
1444,3,4,1039
1445,4,0,1104
1446,4,1,1263
1447,4,2,984
1448,4,3,1487
1449,4,4,1326
1450,0,0,1129
1451,0,1,1627
1452,0,2,1525
1453,0,3,1850
1454,0,4,1880
1455,1,0,649
1456,1,1,1118
1457,1,2,1015
1458,1,3,1327
1459,1,4,1357
1460,2,0,1184
1461,2,1,895
1462,2,2,790
1463,2,3,1106
1464,2,4,1136
1465,3,0,1160
1466,3,1,1714
1467,3,2,1611
1468,3,3,1923
1469,3,4,1953
1470,4,0,723
1471,4,1,925
1472,4,2,861
1473,4,3,1145
1474,4,4,1175
1475,0,0,1867
1476,0,1,1757
1477,0,2,1736
1478,0,3,1616
1479,0,4,1452
1480,1,0,1343
1481,1,1,1233
1482,1,2,1212
1483,1,3,1107
1484,1,4,942
1485,2,0,1122
1486,2,1,1012
1487,2,2,991
1488,2,3,884
1489,2,4,716
1490,3,0,1939
1491,3,1,1829
1492,3,2,1808
1493,3,3,1702
1494,3,4,1538
1495,4,0,1161
1496,4,1,1051
1497,4,2,1030
1498,4,3,923
1499,4,4,845
1500,0,0,610
1501,0,1,551
1502,0,2,667
1503,0,3,398
1504,0,4,885
1505,1,0,815
1506,1,1,862
1507,1,2,834
1508,1,3,908
1509,1,4,1116
1510,2,0,1053
1511,2,1,802
1512,2,2,1118
1513,2,3,1061
1514,2,4,818
1515,3,0,676
1516,3,1,802
1517,3,2,584
1518,3,3,688
1519,3,4,1136
1520,4,0,1152
1521,4,1,1128
1522,4,2,1216
1523,4,3,1160
1524,4,4,1381
1525,0,0,1105
1526,0,1,1219
1527,0,2,1200
1528,0,3,412
1529,0,4,517
1530,1,0,1336
1531,1,1,1450
1532,1,2,1430
1533,1,3,893
1534,1,4,935
1535,2,0,861
1536,2,1,975
1537,2,2,956
1538,2,3,1084
1539,2,4,867
1540,3,0,1356
1541,3,1,1470
1542,3,2,1451
1543,3,3,682
1544,3,4,768
1545,4,0,1601
1546,4,1,1715
1547,4,2,1696
1548,4,3,1177
1549,4,4,1200
1550,0,0,983
1551,0,1,1021
1552,0,2,1440
1553,0,3,2061
1554,0,4,1809
1555,1,0,227
1556,1,1,123
